entry,word,translation,partofspeech
191,amokárse,blow one's nose,(v)
192,amór,love,(m)
193,amostrár,show,(v)
194,ananás,pineapple,(m)
195,áncho,wide,(adj)
196,áncho,free from care,(adj)
197,anchór,width,(f)
198,anchúa;anchúya,anchovy,(f)
199,anchúra,comfort;affluence,(f)
200,anchúsa;enchúsa,spinach baked with egg and,(f)
201,ánda,stretcher,(f)
202,ánde;ónde,where;where to,(adv)
203,ándjak,hardly;however,(adv)
204,ándjel,angel,(m)
205,ándjelo,angel,(m)
206,anekdóta,joke;anecdote,(f)
207,anesteziko,anaesthetic,
208,anfitrión;anfitrióna,amphitryon;host,(m/f)
209,animál,animal,(m)
210,animar,animate,
211,anís;aínito,aniseed,(m)
212,aniversário,birthday,(m)
213,aníyo,ring,(m)
214,ankéta,poll,(f)
215,anóche,last night,(adv)
216,ansí,so,(adv)
217,ansiklopédia,encyclopaedia,(f)
218,ansína,so,(adv)
219,antepasádos,forefathers,(m)
220,ántes,before,(prep)
221,antikitá,antiquity,(f)
222,antíko,antique,(adj)
223,antisemitízmo,anti-semitism,(m)
224,antiyér,day before yesterday,(adv)
225,antójos,spectacles,(m/p)
226,anunsiár,announce;proclaim,(v)
227,anvelóp;envelóp,envelope,(f)
228,anyáda,year,(f)
229,ányo,year,(m)
230,anyúdo,knot,(m)
231,aogár;afogár,drown;suffocate,(v)
232,aogárse;afogárse,drown os;suffocate,(v)
233,apanyár,seize,(v)
234,aparejár;aprontár;,prepare,(v)
235,aparente,apparent,
236,apareser,appear,
237,apartado/a,remote;isolated,
238,apartar,separate,
239,apárte,apart;aside,(adv)
240,apénas,scarcely;hardly,(adv)
241,apenas ke,as soon as,
242,apersevérse,notice;become aware,(v)
243,apoyár,prop against;support,(v)
244,apoyárse,rest on,(v)
245,apóyo,support,(m)
246,apozar,lay down,
247,aprender,learn,
248,aprendizaje,apprenticeship,
249,apresiár;apresyár,appreciated,(v)
250,apresurarse,hurry,
251,apretar,tighten;squeeze,
252,aproksimativamente,approximately,
253,aprontár,prepare,(v)
254,apropiado,appropriate,
255,aprovár,try,(v)
256,arabá,carriage;car,(f)
257,arabo,Arab,
258,aránya,spider,(f)
259,araparse,shave,
260,arar,plough,
261,arár,plough,(v)
262,arar la mar,split open,
263,arba,eve;day before,
264,archivo,archives,
265,ardor,ardour,
266,ariénto;adyéntro,in,(adv)
267,arina,flour,
268,arko,arc,
269,arma,arm,
270,armada,army,
271,arraskárse,scratch,(v)
272,arraviádo,on bad terms;cross,(adj)
273,arraviárse,be crossed,(v)
274,arrazgar,tear,
